"Scheme-Id"	"Agency-Id"	"Version"	"Schlüssel"	"Wert"	"Sprache"	"Beschreibung"
"AkademischerTitel"	"de.ilb"	1	"0"		"de"	"Keinen"
"AkademischerTitel"	"de.ilb"	1	"1"		"de"	"Dr."
"AkademischerTitel"	"de.ilb"	1	"2"		"de"	"Professor"
"Rechtsform"	"de.ilb"	1	"00"		"de"	"Natürliche Person"
"Rechtsform"	"de.ilb"	1	"11"		"de"	"Aktiengesellschaft"
"Rechtsform"	"de.ilb"	1	"12"		"de"	"Gesellschaft mit beschränkter Haftung"
"Rechtsform"	"de.ilb"	1	"13"		"de"	"Kommanditgesellschaft auf Aktien"
"Rechtsform"	"de.ilb"	1	"14"		"de"	"gemeinnützige GmbH"
"Rechtsform"	"de.ilb"	1	"15"		"de"	"GbR mit quotaler Haftung"
"Rechtsform"	"de.ilb"	1	"16"		"de"	"OHG mit quotaler Haftung"
"Rechtsform"	"de.ilb"	1	"17"		"de"	"Unternehmergesellschaft (haftungsbeschr)"
"Rechtsform"	"de.ilb"	1	"21"		"de"	"Kommanditgesellschaft"
"Rechtsform"	"de.ilb"	1	"22"		"de"	"GmbH & Co KG"
"Rechtsform"	"de.ilb"	1	"23"		"de"	"Offene Handelsgesellschaft"
"Rechtsform"	"de.ilb"	1	"24"		"de"	"Gesellschaft bürgerlichen Rechts"
"Rechtsform"	"de.ilb"	1	"26"		"de"	"Genossenschaft"
"Rechtsform"	"de.ilb"	1	"27"		"de"	"Anstalt öffentlichen Rechts mit Rechtsfähigkeit"
"Rechtsform"	"de.ilb"	1	"28"		"de"	"Anstalt öffentlichen Rechts ohne Rechtsfähigkeit"
"Rechtsform"	"de.ilb"	1	"29"		"de"	"Gebietskörperschaft"
"Rechtsform"	"de.ilb"	1	"30"		"de"	"Personalkörperschaft"
"Rechtsform"	"de.ilb"	1	"31"		"de"	"Stiftung des öffentlichen Rechts"
"Rechtsform"	"de.ilb"	1	"32"		"de"	"unselbständige Anstalten"
"Rechtsform"	"de.ilb"	1	"33"		"de"	"wirtschaftlich eingetragener Verein"
"Rechtsform"	"de.ilb"	1	"34"		"de"	"eingetragener Verein"
"Rechtsform"	"de.ilb"	1	"35"		"de"	"nicht eingetragener Verein"
"Rechtsform"	"de.ilb"	1	"36"		"de"	"Stiftung des privaten Rechts"
"Rechtsform"	"de.ilb"	1	"37"		"de"	"Körperschaft des öffentlichen Rechts"
"Rechtsform"	"de.ilb"	1	"50"		"de"	"Ausländische Gesellschaft mit limitierter Haftung"
"Rechtsform"	"de.ilb"	1	"51"		"de"	"Europäische Aktiengesellschaft (SE)"
"Rechtsform"	"de.ilb"	1	"60"		"de"	"Gesellschaft in Gründung"
"Rechtsform"	"de.ilb"	1	"61"		"de"	"Gemeinschaftskonto natürliche Personen"
"Rechtsform"	"de.ilb"	1	"62"		"de"	"Gemeinschaftskonto juristische Personen"
"Rechtsform"	"de.ilb"	1	"70"		"de"	"Privatgemeinschaft Ehe"
"Rechtsform"	"de.ilb"	1	"80"		"de"	"Eheähnliche Gemeinschaft                         "
"Massnahmeart"	"de.ilb"	1	"0412"		"de"	"Bildungsscheck Brandenburg"
"Massnahmeart"	"de.ilb"	1	"0413"		"de"	"Weiterbildungsmaßnahmen in Unternehmen"
"Massnahmeart"	"de.ilb"	1	"0414"		"de"	"Qualifikation im Verein"
"Massnahmeart"	"de.ilb"	1	"0415"		"de"	"Kompetenzentwicklung in der Kinder- und Jugendhilfe"
"Massnahmeart"	"de.ilb"	1	"0416"		"de"	"Umsetzung des Brandenburger Servicepakets"
"Massnahmeart"	"de.ilb"	1	"0417"		"de"	"Kooperationen bei modelhaften Weiterbildungsmaßnahmen"
